0.028929,-0.0172
0.032605,0.027906
0.03505,0.030721
0.057741,-0.0034681
0.064808,0.021859
-0.010591,-0.00020646
0.024575,0.023934
-0.0036928,0.028903
0.058487,0.092852
0.064167,0.060064
0.0031064,0.015926
0.036234,0.011218
0.023326,0.030834
0.014097,0.058127
0.022226,0.096645
0.01278,0.034176
-0.0052453,0.044398
-0.034454,0.007685
0.016875,0.075701
-0.050629,0.057936
-0.032043,0.062327
-0.042539,0.055381
-0.012404,-0.018819
-0.010997,0.057352
-0.01111,0.023255
-0.010612,0.0048645
-0.083122,0.0038544
-0.039894,0.037517
-0.049506,0.052739
-0.065782,0.025337
-0.045178,0.040001
-0.056799,-0.02404
-0.078548,-0.053684
-0.06584,-0.030211
-0.067466,-0.052089
-0.062966,-0.057186
-0.040514,-0.042954
-0.028535,-0.07472
-0.053994,-0.063181
-0.063849,-0.046148
-0.046758,-0.042951
-0.00031798,-0.067432
0.011142,-0.055629
-0.040865,-0.050546
0.0086974,-0.059044
-0.0061775,-0.032247
-0.013002,-0.071639
0.02244,-0.036229
-0.014514,-0.0081434
-0.0095459,-0.0015747
0.019717,-0.053574
-0.024667,-0.024653
0.016734,-0.057957
0.0067766,-0.017678
-0.0014462,-0.066803
0.023349,-0.063469
0.048397,-0.03847
0.040841,-0.05627
0.10449,0.0072787
0.045506,0.0017663
0.39433,-0.013359
0.37619,0.059028
0.38291,0.0057398
0.33938,0.067401
0.38241,0.090505
0.35597,0.12583
0.33544,0.089878
0.37486,0.13456
0.35887,0.1788
0.32867,0.17038
0.33274,0.19422
0.30822,0.18898
0.28762,0.18895
0.30457,0.24266
0.28249,0.24583
0.26889,0.27065
0.27649,0.24435
0.24377,0.2688
0.23526,0.30478
0.27236,0.26265
0.16068,0.31349
0.18468,0.32063
0.15802,0.35644
0.22625,0.37502
0.15412,0.36609
0.18636,0.31209
0.13447,0.3055
0.11588,0.31835
0.068997,0.37478
0.055499,0.34748
0.064295,0.33726
0.034085,0.36195
0.084854,0.3659
-0.011965,0.33559
0.034783,0.37062
-0.0059789,0.34238
-0.041686,0.34762
-0.075526,0.38922
-0.084763,0.35067
-0.099294,0.34326
-0.13219,0.39417
-0.076218,0.37758
